subClientId1, subClientId2, fqhn, displayName, operatingSystem, hostname, managingSDC, serverId, datatype, statusCode, statusMessage, collectionDatetime, clientId, datafileDate, recordedToss, recordedDone, mlm1, mlm2, operatingSystemVersion, collectionDate
none,none,alv-aij-a001-bwlb1.fannie_mae.ibm.com,alv-aij-a001-bwlb1,Linux,alv-aij-a001-bwlb1,AG,8345869,vmstat,-69,Server Not Yet Processed,2020-12-22 10:08:47.894,Fannie_Mae,2020-11-07,2020-12-22 10:08:47.894,1970-01-01 00:00:00.0,adcsrmp1.whirlpool.com,none,,2020-12-22
none,none,alv-aij-a001-bwlb1.fannie_mae.ibm.com,alv-aij-a001-bwlb1,Linux,alv-aij-a001-bwlb1,AG,8345869,vmstat,-69,Server Not Yet Processed,2020-12-22 10:08:47.894,Fannie_Mae,2020-11-07,2020-12-22 10:08:47.894,1970-01-01 00:00:00.0,adcsrmp1.whirlpool.com,none,,2020-12-22
none,none,alv-aij-a001-bwlb1.fannie_mae.ibm.com,alv-aij-a001-bwlb1,Linux,alv-aij-a001-bwlb1,AG,8345869,vmstat,-69,Server Not Yet Processed,2020-12-22 10:08:47.894,Fannie_Mae,2020-11-07,2020-12-22 10:08:47.894,1970-01-01 00:00:00.0,adcsrmp1.whirlpool.com,none,,2020-12-22
none,none,alv-aij-a001-bwlb1.fannie_mae.ibm.com,alv-aij-a001-bwlb1,Linux,alv-aij-a001-bwlb1,AG,8345869,vmstat,-69,Server Not Yet Processed,2020-12-22 10:08:47.894,Fannie_Mae,2020-11-07,2020-12-22 10:08:47.894,1970-01-01 00:00:00.0,adcsrmp1.whirlpool.com,none,,2020-12-22
none,none,alv-aij-a001-bwlb1.fannie_mae.ibm.com,alv-aij-a001-bwlb1,Linux,alv-aij-a001-bwlb1,AG,8345869,vmstat,-69,Server Not Yet Processed,2020-12-22 10:08:47.894,Fannie_Mae,2020-11-07,2020-12-22 10:08:47.894,1970-01-01 00:00:00.0,adcsrmp1.whirlpool.com,none,,2020-12-22
none,none,alv-aij-a001-bwlb1.fannie_mae.ibm.com,alv-aij-a001-bwlb1,Linux,alv-aij-a001-bwlb1,AG,8345869,process,-69,Server Not Yet Processed,2020-12-22 10:08:47.893,Fannie_Mae,2020-11-07,2020-12-22 10:08:47.893,1970-01-01 00:00:00.0,adcsrmp1.whirlpool.com,none,,2020-12-22
none,none,alv-aij-a001-bwlb1.fannie_mae.ibm.com,alv-aij-a001-bwlb1,Linux,alv-aij-a001-bwlb1,AG,8345869,process,-69,Server Not Yet Processed,2020-12-22 10:08:47.893,Fannie_Mae,2020-11-07,2020-12-22 10:08:47.893,1970-01-01 00:00:00.0,adcsrmp1.whirlpool.com,none,,2020-12-22
none,none,alv-aij-a001-bwlb1.fannie_mae.ibm.com,alv-aij-a001-bwlb1,Linux,alv-aij-a001-bwlb1,AG,8345869,process,-69,Server Not Yet Processed,2020-12-22 10:08:47.893,Fannie_Mae,2020-11-07,2020-12-22 10:08:47.893,1970-01-01 00:00:00.0,adcsrmp1.whirlpool.com,none,,2020-12-22
none,none,alv-aij-a001-bwlb1.fannie_mae.ibm.com,alv-aij-a001-bwlb1,Linux,alv-aij-a001-bwlb1,AG,8345869,process,-69,Server Not Yet Processed,2020-12-22 10:08:47.893,Fannie_Mae,2020-11-07,2020-12-22 10:08:47.893,1970-01-01 00:00:00.0,adcsrmp1.whirlpool.com,none,,2020-12-22
none,none,alv-aij-a001-bwlb1.fannie_mae.ibm.com,alv-aij-a001-bwlb1,Linux,alv-aij-a001-bwlb1,AG,8345869,process,-69,Server Not Yet Processed,2020-12-22 10:08:47.893,Fannie_Mae,2020-11-07,2020-12-22 10:08:47.893,1970-01-01 00:00:00.0,adcsrmp1.whirlpool.com,none,,2020-12-22
