subClientId1, subClientId2, fqhn, displayName, operatingSystem, hostname, managingSDC, serverId, datatype, statusCode, statusMessage, collectionDatetime, clientId, datafileDate, recordedToss, recordedDone, mlm1, mlm2, operatingSystemVersion, collectionDate
none,none,00005E1FF30000000000_5844129.push.ibm.com,00005E1FF30000000000,aix,00005E1FF30000000000_5844129,AG,5844129,netstat,-69,Server Not Yet Processed,2020-12-22 10:10:49.74,IES_PC_INFRA_TIM,2020-11-07,2020-12-22-10:10:49.74,1970-01-01 00:00:00.0,none,none,,2020-12-22
none,none,-l_7689453.push.ibm.com,-l,sun,-l_7689453,Australia,7689453,dustat,-69,Server Not Yet Processed,2020-12-22 10:18:27.342,National_Australia_Bank_Limited,2020-11-07,2020-12-22 10:18:27.342,1970-01-01 00:00:00.0,none,none,,2020-12-22
